"type","flavor","state","index type","index","year"
"non-metro","expanded-data","Alaska","index_nsa",0,1980
"non-metro","expanded-data","Alaska","index_sa",0,1980
"non-metro","expanded-data","Alaska","index_nsa",0,1981
"non-metro","expanded-data","Alaska","index_sa",0,1981
"non-metro","expanded-data","Alaska","index_nsa",0,1982
"non-metro","expanded-data","Alaska","index_sa",0,1982
"non-metro","expanded-data","Alaska","index_nsa",0,1983
"non-metro","expanded-data","Alaska","index_sa",0,1983
"non-metro","expanded-data","Alaska","index_nsa",0,1984
"non-metro","expanded-data","Alaska","index_sa",0,1984
"non-metro","expanded-data","Alaska","index_nsa",0,1985
"non-metro","expanded-data","Alaska","index_sa",0,1985
"non-metro","expanded-data","Alaska","index_nsa",0,1986
"non-metro","expanded-data","Alaska","index_sa",0,1986
"non-metro","expanded-data","Alaska","index_nsa",0,1987
"non-metro","expanded-data","Alaska","index_sa",0,1987
"non-metro","expanded-data","Alaska","index_nsa",0,1988
"non-metro","expanded-data","Alaska","index_sa",0,1988
"non-metro","expanded-data","Alaska","index_nsa",0,1989
"non-metro","expanded-data","Alaska","index_sa",0,1989
"non-metro","expanded-data","Alaska","index_nsa",0,1990
"non-metro","expanded-data","Alaska","index_sa",0,1990
"non-metro","expanded-data","Alaska","index_nsa",0,1991
"non-metro","expanded-data","Alaska","index_sa",0,1991
"non-metro","expanded-data","Alaska","index_nsa",0,1992
"non-metro","expanded-data","Alaska","index_sa",0,1992
"non-metro","expanded-data","Alaska","index_nsa",0,1993
"non-metro","expanded-data","Alaska","index_sa",0,1993
"non-metro","expanded-data","Alaska","index_nsa",0,1994
"non-metro","expanded-data","Alaska","index_sa",0,1994
"non-metro","expanded-data","Alaska","index_nsa",0,1995
"non-metro","expanded-data","Alaska","index_sa",0,1995
"non-metro","expanded-data","Alaska","index_nsa",0,1996
"non-metro","expanded-data","Alaska","index_sa",0,1996
"non-metro","expanded-data","Alaska","index_nsa",0,1997
"non-metro","expanded-data","Alaska","index_sa",0,1997
"non-metro","expanded-data","Alaska","index_nsa",0,1998
"non-metro","expanded-data","Alaska","index_sa",0,1998
"non-metro","expanded-data","Alaska","index_nsa",0,1999
"non-metro","expanded-data","Alaska","index_sa",0,1999
"non-metro","expanded-data","Alaska","index_nsa",0,2000
"non-metro","expanded-data","Alaska","index_sa",0,2000
"non-metro","expanded-data","Alaska","index_nsa",0,2001
"non-metro","expanded-data","Alaska","index_sa",0,2001
"non-metro","expanded-data","Alaska","index_nsa",0,2002
"non-metro","expanded-data","Alaska","index_sa",0,2002
"non-metro","expanded-data","Alaska","index_nsa",0,2003
"non-metro","expanded-data","Alaska","index_sa",0,2003
"non-metro","expanded-data","Alaska","index_nsa",0,2004
"non-metro","expanded-data","Alaska","index_sa",0,2004
"non-metro","expanded-data","Alaska","index_nsa",0,2005
"non-metro","expanded-data","Alaska","index_sa",0,2005
"non-metro","expanded-data","Alaska","index_nsa",0,2006
"non-metro","expanded-data","Alaska","index_sa",0,2006
"non-metro","expanded-data","Alaska","index_nsa",0,2007
"non-metro","expanded-data","Alaska","index_sa",0,2007
"non-metro","expanded-data","Alaska","index_nsa",0,2008
"non-metro","expanded-data","Alaska","index_sa",0,2008
"non-metro","expanded-data","Alaska","index_nsa",0,2009
"non-metro","expanded-data","Alaska","index_sa",0,2009
"non-metro","expanded-data","Alaska","index_nsa",0,2010
"non-metro","expanded-data","Alaska","index_sa",0,2010
"non-metro","expanded-data","Alaska","index_nsa",0,2011
"non-metro","expanded-data","Alaska","index_sa",0,2011
"non-metro","expanded-data","Alaska","index_nsa",0,2012
"non-metro","expanded-data","Alaska","index_sa",0,2012
"non-metro","expanded-data","Alaska","index_nsa",0,2013
"non-metro","expanded-data","Alaska","index_sa",0,2013
"non-metro","expanded-data","Alaska","index_nsa",0,2014
"non-metro","expanded-data","Alaska","index_sa",0,2014
"non-metro","expanded-data","Alaska","index_nsa",0,2015
"non-metro","expanded-data","Alaska","index_sa",0,2015
"non-metro","expanded-data","Alaska","index_nsa",0,2016
"non-metro","expanded-data","Alaska","index_sa",0,2016
"non-metro","expanded-data","Alaska","index_nsa",0,2017
"non-metro","expanded-data","Alaska","index_sa",0,2017
"non-metro","expanded-data","Alaska","index_nsa",0,2018
"non-metro","expanded-data","Alaska","index_sa",0,2018
"non-metro","expanded-data","Alaska","index_nsa",0,2019
"non-metro","expanded-data","Alaska","index_sa",0,2019
"non-metro","expanded-data","Alaska","index_nsa",0,2020
"non-metro","expanded-data","Alaska","index_sa",0,2020
"non-metro","expanded-data","Alaska","index_nsa",0,2021
"non-metro","expanded-data","Alaska","index_sa",0,2021
"non-metro","expanded-data","Alaska","index_nsa",0,2022
"non-metro","expanded-data","Alaska","index_sa",0,2022
"non-metro","purchase-only","Alaska","index_nsa",0,1975
"non-metro","purchase-only","Alaska","index_sa",0,1975
"non-metro","purchase-only","Alaska","index_nsa",0,1976
"non-metro","purchase-only","Alaska","index_sa",0,1976
"non-metro","purchase-only","Alaska","index_nsa",0,1977
"non-metro","purchase-only","Alaska","index_sa",0,1977
"non-metro","purchase-only","Alaska","index_nsa",0,1978
"non-metro","purchase-only","Alaska","index_sa",0,1978
"non-metro","purchase-only","Alaska","index_nsa",0,1979
"non-metro","purchase-only","Alaska","index_sa",0,1979
"non-metro","purchase-only","Alaska","index_nsa",0,1980
"non-metro","purchase-only","Alaska","index_sa",0,1980
"non-metro","purchase-only","Alaska","index_nsa",0,1981
"non-metro","purchase-only","Alaska","index_sa",0,1981
"non-metro","purchase-only","Alaska","index_nsa",0,1982
"non-metro","purchase-only","Alaska","index_sa",0,1982
